Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"28-08-2024 , 08:35",50.74011010117829,-1.887828055769205,W,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Talbot Avenue,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240828083547085_50.74011010117829_-1.887828055769205_W_30.0_9.75_1115.77_bcpcounciladmin_11_7_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240828083547085_50.74011010117829_-1.887828055769205_W_30.0_9.75_1115.77_bcpcounciladmin_.jpg
"14-08-2024 , 12:25",50.74472060892731,-1.8627626448869705,W,Major Pothole,Moderate Pothole,Charminster Avenue,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240814122547029_50.74472060892731_-1.8627626448869705_W_37.7_10.71_8061.41_bcpcounciladmin_11_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240814122547029_50.74472060892731_-1.8627626448869705_W_37.7_10.71_8061.41_bcpcounciladmin_.jpg
"22-11-2024 , 11:50",50.74701955541968,-1.8156115896999836,N,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking",Riverside Avenue,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20241122115008851_50.74701955541968_-1.8156115896999836_N_38.3_11.15_15160.74_stuart.hiscock@bcpcouncil.gov.uk_10_10_11_11_7_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20241122115008851_50.74701955541968_-1.8156115896999836_N_38.3_11.15_15160.74_stuart.hiscock@bcpcouncil.gov.uk_.jpg
"22-11-2024 , 11:50",50.74768390506506,-1.8154810834676027,N,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Riverside Avenue,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20241122115016840_50.74768390506506_-1.8154810834676027_N_29.9_9.56_15238.14_stuart.hiscock@bcpcouncil.gov.uk_11_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20241122115016840_50.74768390506506_-1.8154810834676027_N_29.9_9.56_15238.14_stuart.hiscock@bcpcouncil.gov.uk_.jpg
"14-08-2024 , 12:21",50.748326922766864,-1.8311699945479631,S,Major Pothole,"Moderate Pothole, Minor Alligator, Minor Longitudinal Cracking",Castle Lane West,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240814122111068_50.748326922766864_-1.8311699945479631_S_19.0_4.35_5421.79_bcpcounciladmin_11_1_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240814122111068_50.748326922766864_-1.8311699945479631_S_19.0_4.35_5421.79_bcpcounciladmin_.jpg
"23-10-2024 , 10:08",50.75111273210496,-1.8415327928960323,W,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking",Castle Lane West,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20241023100841356000_50.75111273210496_-1.8415327928960323_W_44.8_6.8_5703.92_bcpcounciladmin_10_11_7_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20241023100841356000_50.75111273210496_-1.8415327928960323_W_44.8_6.8_5703.92_bcpcounciladmin_.jpg
"14-08-2024 , 12:13",50.75250999536365,-1.819332567974925,S,Major Pothole,Moderate Pothole,A338,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240814121341017_50.75250999536365_-1.819332567974925_S_21.4_6.18_2247.55_bcpcounciladmin_11_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240814121341017_50.75250999536365_-1.819332567974925_S_21.4_6.18_2247.55_bcpcounciladmin_.jpg
"14-08-2024 , 12:15",50.752523825503886,-1.8193580489605665,N,Major Pothole,Moderate Pothole,A338,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240814121500046_50.752523825503886_-1.8193580489605665_N_22.2_6.43_2661.59_bcpcounciladmin_11_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240814121500046_50.752523825503886_-1.8193580489605665_N_22.2_6.43_2661.59_bcpcounciladmin_.jpg
"14-08-2024 , 12:15",50.75262260623276,-1.819292837753892,N,Major Pothole,"Moderate Pothole, Minor Pothole, Minor Longitudinal Cracking",A338,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240814121502044_50.75262260623276_-1.819292837753892_N_21.2_5.88_2673.47_bcpcounciladmin_11_10_7_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240814121502044_50.75262260623276_-1.819292837753892_N_21.2_5.88_2673.47_bcpcounciladmin_.jpg
"21-08-2024 , 11:10",50.75282293371856,-1.832172805443406,W,Major Pothole,Moderate Pothole,Woodbury Avenue,https://platform.roadmetrics.ai/bcp_council_08_2024_1/Markred/20240821111034974_50.75282293371856_-1.832172805443406_W_27.4_7.88_27165.67_bcpcounciladmin_11_.jpg,https://platform.roadmetrics.ai/bcp_council_08_2024_1/raw/20240821111034974_50.75282293371856_-1.832172805443406_W_27.4_7.88_27165.67_bcpcounciladmin_.jpg
