Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"10-07-2024 , 10:32",56.19881777325645,-3.59694282989949,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking, Minor Alligator",A91,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240710103242083_56.19881777325645_-3.59694282989949_E_51.0_6.83_1678.98_clackstrial_11_7_4_7_1_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240710103242083_56.19881777325645_-3.59694282989949_E_51.0_6.83_1678.98_clackstrial_.jpg
"17-07-2024 , 13:12",56.18914218619466,-3.6123469658195972,W,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Alligator",Cairns Place,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240717131255047_56.18914218619466_-3.6123469658195972_W_15.1_4.37_133.83_clackstrial_10_11_1_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240717131255047_56.18914218619466_-3.6123469658195972_W_15.1_4.37_133.83_clackstrial_.jpg
"17-07-2024 , 13:14",56.1890926072374,-3.6125283502042294,E,Major Pothole,Moderate Pothole,Cairns Place,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240717131431064_56.1890926072374_-3.6125283502042294_E_15.8_4.33_498.67_clackstrial_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240717131431064_56.1890926072374_-3.6125283502042294_E_15.8_4.33_498.67_clackstrial_.jpg
"17-07-2024 , 13:18",56.1871842155233,-3.6131750978529453,S,Major Pothole,Moderate Pothole,Drumburn Road,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240717131854049_56.1871842155233_-3.6131750978529453_S_16.4_4.35_1572.3_clackstrial_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240717131854049_56.1871842155233_-3.6131750978529453_S_16.4_4.35_1572.3_clackstrial_.jpg
"17-07-2024 , 13:25",56.181407030671835,-3.6151225492358208,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Golf Course Road,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240717132517041_56.181407030671835_-3.6151225492358208_E_22.0_5.79_793.41_clackstrial_11_7_7_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240717132517041_56.181407030671835_-3.6151225492358208_E_22.0_5.79_793.41_clackstrial_.jpg
"17-07-2024 , 13:39",56.17149278987199,-3.6356690246611834,E,Major Pothole,"Minor Pothole, Moderate Pothole",#,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240717133953052_56.17149278987199_-3.6356690246611834_E_15.8_5.46_212.62_clackstrial_10_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240717133953052_56.17149278987199_-3.6356690246611834_E_15.8_5.46_212.62_clackstrial_.jpg
"19-09-2024 , 10:47",56.17176557891071,-3.667086912319064,N,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking",Upper Hillfoot Road,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240919104730305_56.17176557891071_-3.667086912319064_N_24.9_7.09_1240.26_clackstrial_12_7_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240919104730305_56.17176557891071_-3.667086912319064_N_24.9_7.09_1240.26_clackstrial_.jpg
"23-09-2024 , 10:43",56.170035931281745,-3.6678245197981596,W,Major Pothole,"Moderate Pothole, Minor Pothole, Minor Longitudinal Cracking, Minor Alligator, Minor Transverse Cracking",Princes Crescent,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923104322291_56.170035931281745_-3.6678245197981596_W_15.8_4.69_1497.37_clackstrial_11_11_10_7_7_1_4_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923104322291_56.170035931281745_-3.6678245197981596_W_15.8_4.69_1497.37_clackstrial_.jpg
"23-09-2024 , 10:34",56.16566866636276,-3.668099530041218,N,Major Pothole,Moderate Pothole,The Ness,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923103449294_56.16566866636276_-3.668099530041218_N_1.6_3.1_1334.02_clackstrial_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923103449294_56.16566866636276_-3.668099530041218_N_1.6_3.1_1334.02_clackstrial_.jpg
"19-09-2024 , 11:12",56.16467842832208,-3.666672594845295,W,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Kirkstyle,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240919111254068_56.16467842832208_-3.666672594845295_W_14.9_3.9_9808.68_clackstrial_11_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240919111254068_56.16467842832208_-3.666672594845295_W_14.9_3.9_9808.68_clackstrial_.jpg
"19-09-2024 , 11:10",56.16452571004629,-3.6675791814923286,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Alligator",Kirkstyle Terrace,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240919111029070_56.16452571004629_-3.6675791814923286_E_16.3_4.93_9384.43_clackstrial_11_7_1_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240919111029070_56.16452571004629_-3.6675791814923286_E_16.3_4.93_9384.43_clackstrial_.jpg
"23-09-2024 , 10:30",56.16600478067994,-3.671208545565605,N,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",East Burnside,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923103036264_56.16600478067994_-3.671208545565605_N_24.9_7.12_365.87_clackstrial_11_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923103036264_56.16600478067994_-3.671208545565605_N_24.9_7.12_365.87_clackstrial_.jpg
"19-09-2024 , 11:13",56.16434969007969,-3.668436147272587,W,Major Pothole,Moderate Pothole,Kirkstyle,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240919111314070_56.16434969007969_-3.668436147272587_W_24.1_6.61_9922.08_clackstrial_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240919111314070_56.16434969007969_-3.668436147272587_W_24.1_6.61_9922.08_clackstrial_.jpg
"23-09-2024 , 10:30",56.164133814163506,-3.6711422447115183,N,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",East Burnside,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923103007271_56.164133814163506_-3.6711422447115183_N_24.3_6.8_155.84_clackstrial_11_7_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923103007271_56.164133814163506_-3.6711422447115183_N_24.3_6.8_155.84_clackstrial_.jpg
"10-07-2024 , 12:17",56.13538311095908,-3.643227447755635,S,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",B913,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240710121727122_56.13538311095908_-3.643227447755635_S_57.3_7.85_19626.15_clackstrial_11_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240710121727122_56.13538311095908_-3.643227447755635_S_57.3_7.85_19626.15_clackstrial_.jpg
"23-09-2024 , 10:55",56.1366727296263,-3.652261085808277,S,Major Pothole,Moderate Pothole,#,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923105507297_56.1366727296263_-3.652261085808277_S_16.1_5.69_70.33_clackstrial_11_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923105507297_56.1366727296263_-3.652261085808277_S_16.1_5.69_70.33_clackstrial_.jpg
"23-09-2024 , 11:13",56.13456392660737,-3.6839627847075462,S,Major Pothole,"Moderate Pothole, Minor Pothole",#,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240923111301765000_56.13456392660737_-3.6839627847075462_S_46.2_6.76_1480.95_clackstrial_11_10_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240923111301765000_56.13456392660737_-3.6839627847075462_S_46.2_6.76_1480.95_clackstrial_.jpg
"27-09-2024 , 09:23",56.124731032177806,-3.685433892533183,S,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Fearns Road,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240927092323794_56.124731032177806_-3.685433892533183_S_27.6_8.4_404.87_clackstrial_11_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240927092323794_56.124731032177806_-3.685433892533183_S_27.6_8.4_404.87_clackstrial_.jpg
"11-07-2024 , 13:43",56.156074781902134,-3.7503998447209597,S,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking",Scotland Place,https://platform.roadmetrics.ai/clackmannanshire_07_2024/Markred/20240711134352079_56.156074781902134_-3.7503998447209597_S_16.1_4.77_2031.91_clackstrial_10_11_7_7_.jpg,https://platform.roadmetrics.ai/clackmannanshire_07_2024/raw/20240711134352079_56.156074781902134_-3.7503998447209597_S_16.1_4.77_2031.91_clackstrial_.jpg
