Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"02-07-2024 , 10:28",50.33691999999999,-4.636521666666667,S,Major Pothole,"Moderate Pothole, Minor Alligator, Minor Longitudinal Cracking, Minor Transverse Cracking",Place Road,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702102803097_50.33691999999999_-4.636521666666667_S_15.7_3.95_67851.47_cornwalltrial_11_1_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702102803097_50.33691999999999_-4.636521666666667_S_15.7_3.95_67851.47_cornwalltrial_.jpg
"02-07-2024 , 09:19",50.37075166666666,-4.789628333333334,W,Major Pothole,"Moderate Pothole, Minor Alligator, Minor Longitudinal Cracking",A391,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702091936431333_50.37075166666666_-4.789628333333334_W_69.2_6.22_17442.53_cornwalltrial_11_1_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702091936431333_50.37075166666666_-4.789628333333334_W_69.2_6.22_17442.53_cornwalltrial_.jpg
"02-07-2024 , 09:20",50.37661333333334,-4.798188333333333,E,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A391,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702092039094_50.37661333333334_-4.798188333333333_E_37.5_10.28_18418.26_cornwalltrial_10_11_7_4_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702092039094_50.37661333333334_-4.798188333333333_E_37.5_10.28_18418.26_cornwalltrial_.jpg
"02-07-2024 , 11:23",50.40104833333333,-4.6862,W,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking, Severe Alligator Cracks",A390,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702112336596000_50.40104833333333_-4.6862_W_60.1_8.29_103662.08_cornwalltrial_11_7_7_7_7_4_4_3_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702112336596000_50.40104833333333_-4.6862_W_60.1_8.29_103662.08_cornwalltrial_.jpg
"02-07-2024 , 10:55",50.41238499999999,-4.658239999999999,E,Major Pothole,Moderate Pothole,#,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702105502097_50.41238499999999_-4.658239999999999_E_20.8_5.32_81180.0_cornwalltrial_11_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702105502097_50.41238499999999_-4.658239999999999_E_20.8_5.32_81180.0_cornwalltrial_.jpg
"02-07-2024 , 11:41",50.41677500000001,-4.688943333333333,S,Major Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking, Minor Alligator",B3269,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markred/20240702114140752666_50.41677500000001_-4.688943333333333_S_79.6_7.14_118412.74_cornwalltrial_10_11_7_1_7_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702114140752666_50.41677500000001_-4.688943333333333_S_79.6_7.14_118412.74_cornwalltrial_.jpg
"02-07-2024 , 09:01",50.314003333333325,-4.854493333333334,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator, Minor Transverse Cracking",#,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702090136093_50.314003333333325_-4.854493333333334_E_39.5_11.09_3907.28_cornwalltrial_10_7_1_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702090136093_50.314003333333325_-4.854493333333334_E_39.5_11.09_3907.28_cornwalltrial_.jpg
"02-07-2024 , 09:02",50.31472166666667,-4.847931666666667,E,Minor Pothole,Minor Pothole,#,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702090206088_50.31472166666667_-4.847931666666667_E_61.5_8.66_4384.58_cornwalltrial_10_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702090206088_50.31472166666667_-4.847931666666667_E_61.5_8.66_4384.58_cornwalltrial_.jpg
"02-07-2024 , 09:02",50.31639333333332,-4.841323333333333,N,Minor Pothole,Minor Pothole,Fore Street,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702090245098_50.31639333333332_-4.841323333333333_N_39.9_12.0_4902.84_cornwalltrial_10_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702090245098_50.31639333333332_-4.841323333333333_N_39.9_12.0_4902.84_cornwalltrial_.jpg
"02-07-2024 , 09:07",50.33445333333333,-4.803974166666666,E,Minor Pothole,"Minor Pothole, Minor Transverse Cracking",A390,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702090743099_50.33445333333333_-4.803974166666666_E_47.0_11.94_8543.67_cornwalltrial_10_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702090743099_50.33445333333333_-4.803974166666666_E_47.0_11.94_8543.67_cornwalltrial_.jpg
"02-07-2024 , 10:29",50.33517,-4.639385,N,Minor Pothole,Minor Pothole,#,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702102953102_50.33517_-4.639385_N_18.0_5.2_68275.07_cornwalltrial_10_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702102953102_50.33517_-4.639385_N_18.0_5.2_68275.07_cornwalltrial_.jpg
"02-07-2024 , 10:34",50.33628999999999,-4.639403333333333,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",New Road Hill,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702103459092_50.33628999999999_-4.639403333333333_W_33.0_9.61_68575.31_cornwalltrial_10_7_7_7_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702103459092_50.33628999999999_-4.639403333333333_W_33.0_9.61_68575.31_cornwalltrial_.jpg
"02-07-2024 , 11:54",50.34215166666666,-4.751873333333333,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A390,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/Markorange/20240702115433092_50.34215166666666_-4.751873333333333_W_39.9_10.91_128979.26_cornwalltrial_10_10_7_7_7_7_7_7_4_.jpg,https://platform.roadmetrics.ai/cornwall_council_05_2024_2/raw/20240702115433092_50.34215166666666_-4.751873333333333_W_39.9_10.91_128979.26_cornwalltrial_.jpg
