Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"10-10-2024 , 11:41",51.51056634262204,-0.3620930202305317,E,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",Uxbridge Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241010114125573_51.51056634262204_-0.3620930202305317_E_40.2_11.1_551.72_ealingadmin_10_4_7_7_7_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241010114125573_51.51056634262204_-0.3620930202305317_E_40.2_11.1_551.72_ealingadmin_.jpg
"10-10-2024 , 10:32",51.510829660110176,-0.3741015214473009,N,Minor Pothole,Minor Pothole,Avenue Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241010103224598_51.510829660110176_-0.3741015214473009_N_15.6_4.34_475.0_ealingadmin_10_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241010103224598_51.510829660110176_-0.3741015214473009_N_15.6_4.34_475.0_ealingadmin_.jpg
"10-10-2024 , 11:40",51.510936906561255,-0.3642401285469532,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Uxbridge Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241010114011562_51.510936906561255_-0.3642401285469532_E_26.6_7.82_401.86_ealingadmin_10_7_4_4_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241010114011562_51.510936906561255_-0.3642401285469532_E_26.6_7.82_401.86_ealingadmin_.jpg
"18-09-2024 , 18:31",51.511542540974915,-0.3669016342610121,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Milford Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20240918183107156_51.511542540974915_-0.3669016342610121_N_18.6_4.7_3682.98_ealingadmin_10_7_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20240918183107156_51.511542540974915_-0.3669016342610121_N_18.6_4.7_3682.98_ealingadmin_.jpg
"10-10-2024 , 11:42",51.51359258685261,-0.3552624396979809,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator",Greenford Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241010114252092500_51.51359258685261_-0.3552624396979809_N_43.0_6.16_1466.29_ealingadmin_10_7_7_1_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241010114252092500_51.51359258685261_-0.3552624396979809_N_43.0_6.16_1466.29_ealingadmin_.jpg
"10-10-2024 , 11:45",51.52600467670709,-0.35278365947306156,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Greenford Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241010114515594_51.52600467670709_-0.35278365947306156_N_30.5_8.42_2864.5_ealingadmin_10_7_7_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241010114515594_51.52600467670709_-0.35278365947306156_N_30.5_8.42_2864.5_ealingadmin_.jpg
"22-10-2024 , 11:01",51.54550995212048,-0.3725866600871086,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",Kingsmead Drive,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241022110156768_51.54550995212048_-0.3725866600871086_N_14.2_3.94_11894.77_singhto@ealing.gov.uk_10_10_4_7_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241022110156768_51.54550995212048_-0.3725866600871086_N_14.2_3.94_11894.77_singhto@ealing.gov.uk_.jpg
"22-10-2024 , 11:00",51.547373961657286,-0.3690516762435436,S,Minor Pothole,Minor Pothole,Mandeville Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20241022110032770_51.547373961657286_-0.3690516762435436_S_22.2_5.4_11519.91_singhto@ealing.gov.uk_10_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20241022110032770_51.547373961657286_-0.3690516762435436_S_22.2_5.4_11519.91_singhto@ealing.gov.uk_.jpg
"19-09-2024 , 13:28",51.512358728796244,-0.3102950379252434,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Uxbridge Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20240919132822252_51.512358728796244_-0.3102950379252434_W_15.8_4.58_298.85_ealingadmin_10_7_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20240919132822252_51.512358728796244_-0.3102950379252434_W_15.8_4.58_298.85_ealingadmin_.jpg
"19-09-2024 , 13:28",51.512428717687726,-0.3097440954297781,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator, Minor Transverse Cracking",Uxbridge Road,https://platform.roadmetrics.ai/ealing_10_2024/Markorange/20240919132814252_51.512428717687726_-0.3097440954297781_W_19.5_4.69_259.27_ealingadmin_10_7_7_1_7_4_.jpg,https://platform.roadmetrics.ai/ealing_10_2024/raw/20240919132814252_51.512428717687726_-0.3097440954297781_W_19.5_4.69_259.27_ealingadmin_.jpg
