Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"19-07-2023 , 19:45",53.75839114654809,-1.707758205011487,S,Major Pothole,"Surface Deterioration, Severe Pothole",South View Close,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230719194546747_53.75839114654809_-1.707758205011487_S_13.7_4.56_14710.88_kirkleesadmin_19_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230719194546747_53.75839114654809_-1.707758205011487_S_13.7_4.56_14710.88_kirkleesadmin_.jpg
"17-07-2023 , 13:37",53.59320621471852,-1.937253875657916,S,Major Pothole,"Minor Alligator, Moderate Pothole",Old Mount Road,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717133716288_53.59320621471852_-1.937253875657916_S_26.4_7.83_10345.24_kirkleesadmin_1_11_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717133716288_53.59320621471852_-1.937253875657916_S_26.4_7.83_10345.24_kirkleesadmin_.jpg
"17-07-2023 , 13:09",53.60076455399394,-1.9219118915498257,S,Major Pothole,"Ravelling, Severe Pothole",Carrs Road,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717130958272_53.60076455399394_-1.9219118915498257_S_29.0_8.8_1034.76_kirkleesadmin_13_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717130958272_53.60076455399394_-1.9219118915498257_S_29.0_8.8_1034.76_kirkleesadmin_.jpg
"17-07-2023 , 11:37",53.60228205565363,-1.9253694266080856,W,Major Pothole,"Ravelling, Severe Pothole",Crowther Bruce Mill Road,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717113743343_53.60228205565363_-1.9253694266080856_W_6.3_4.43_15690.15_kirkleesadmin_13_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717113743343_53.60228205565363_-1.9253694266080856_W_6.3_4.43_15690.15_kirkleesadmin_.jpg
"17-07-2023 , 14:21",53.61549658700824,-1.9067211169749498,N,Major Pothole,"Moderate Pothole, Surface Deterioration",White Hill,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717142103258_53.61549658700824_-1.9067211169749498_N_18.2_3.48_7671.0_kirkleesadmin_11_19_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717142103258_53.61549658700824_-1.9067211169749498_N_18.2_3.48_7671.0_kirkleesadmin_.jpg
"17-07-2023 , 14:27",53.61768296454102,-1.912753488868475,S,Major Pothole,Moderate Pothole,Green Lane,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717142736268_53.61768296454102_-1.912753488868475_S_23.1_7.04_9438.79_kirkleesadmin_11_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717142736268_53.61768296454102_-1.912753488868475_S_23.1_7.04_9438.79_kirkleesadmin_.jpg
"17-07-2023 , 15:08",53.621061206795275,-1.8874912708997726,W,Major Pothole,"Minor Alligator, Surface Deterioration, Minor Transverse Cracking, Minor Longitudinal Cracking, Severe Pothole",Rotcher Lane,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717150850249_53.621061206795275_-1.8874912708997726_W_21.6_6.58_4690.09_kirkleesadmin_1_19_4_7_4_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717150850249_53.621061206795275_-1.8874912708997726_W_21.6_6.58_4690.09_kirkleesadmin_.jpg
"16-07-2023 , 11:01",53.62138357479125,-1.7604060284793377,W,Major Pothole,"Surface Deterioration, Severe Pothole",Lumb Lane,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230716110117963_53.62138357479125_-1.7604060284793377_W_22.3_6.39_3747.77_kirkleesadmin_19_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230716110117963_53.62138357479125_-1.7604060284793377_W_22.3_6.39_3747.77_kirkleesadmin_.jpg
"16-07-2023 , 11:01",53.62139958422631,-1.760311396792531,W,Major Pothole,"Ravelling, Surface Deterioration, Severe Pothole",Lumb Lane,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230716110116972_53.62139958422631_-1.760311396792531_W_23.6_7.29_3741.38_kirkleesadmin_13_19_12_19_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230716110116972_53.62139958422631_-1.760311396792531_W_23.6_7.29_3741.38_kirkleesadmin_.jpg
"17-07-2023 , 14:33",53.62251475453377,-1.8982232920825481,N,Major Pothole,"Surface Deterioration, Severe Pothole",North Lane,https://platform.roadmetrics.ai/huddersfield_07_2023/Markred/20230717143331270_53.62251475453377_-1.8982232920825481_N_14.7_5.17_11268.86_kirkleesadmin_19_12_.jpg,https://platform.roadmetrics.ai/huddersfield_07_2023/raw/20230717143331270_53.62251475453377_-1.8982232920825481_N_14.7_5.17_11268.86_kirkleesadmin_.jpg
