Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"04-05-2024 , 08:41",52.60613104328513,-1.1473938636481762,S,Major Pothole,"Surface Deterioration, Severe Pothole, Minor Transverse Cracking",Hereford Road,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240504084126619_52.60613104328513_-1.1473938636481762_S_23.8_6.54_12664.65_leicesteradmin_19_12_4_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240504084126619_52.60613104328513_-1.1473938636481762_S_23.8_6.54_12664.65_leicesteradmin_.jpg
"04-05-2024 , 11:12",52.60662171989679,-1.1002098675817251,W,Major Pothole,"Ravelling, Moderate Pothole",Knighton Church Road,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240504111202616_52.60662171989679_-1.1002098675817251_W_27.0_7.69_13615.29_leicesteradmin_13_11_11_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240504111202616_52.60662171989679_-1.1002098675817251_W_27.0_7.69_13615.29_leicesteradmin_.jpg
"04-05-2024 , 13:04",52.613155958242714,-1.104586562141776,W,Major Pothole,"Minor Longitudinal Cracking, Moderate Pothole",Knighton Drive,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240504130448625_52.613155958242714_-1.104586562141776_W_37.7_9.97_21099.14_leicesteradmin_7_11_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240504130448625_52.613155958242714_-1.104586562141776_W_37.7_9.97_21099.14_leicesteradmin_.jpg
"11-05-2024 , 11:23",52.61708321515471,-1.0978102963417768,W,Major Pothole,"Ravelling, Surface Deterioration, Severe Pothole",Broadway Road,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240511112332555_52.61708321515471_-1.0978102963417768_W_18.0_6.15_10960.9_leicesteradmin_13_19_13_12_12_19_19_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240511112332555_52.61708321515471_-1.0978102963417768_W_18.0_6.15_10960.9_leicesteradmin_.jpg
"06-04-2024 , 12:29",52.61763294227421,-1.151107968762517,N,Major Pothole,"Surface Deterioration, Ravelling, Severe Pothole",Evelyn Drive,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240406122902966_52.61763294227421_-1.151107968762517_N_7.1_4.11_5809.23_leicesteradmin_19_13_12_13_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240406122902966_52.61763294227421_-1.151107968762517_N_7.1_4.11_5809.23_leicesteradmin_.jpg
"06-04-2024 , 12:29",52.61772254481912,-1.1510446015745401,N,Major Pothole,"Minor Longitudinal Cracking, Moderate Pothole, Ravelling, Surface Deterioration",Evelyn Drive,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240406122906966_52.61772254481912_-1.1510446015745401_N_12.8_3.69_5821.77_leicesteradmin_7_11_13_13_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240406122906966_52.61772254481912_-1.1510446015745401_N_12.8_3.69_5821.77_leicesteradmin_.jpg
"06-04-2024 , 12:29",52.617879076860845,-1.1509230639785528,N,Major Pothole,"Moderate Pothole, Ravelling",Evelyn Drive,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240406122911968_52.617879076860845_-1.1509230639785528_N_13.5_3.62_5841.28_leicesteradmin_11_13_13_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240406122911968_52.617879076860845_-1.1509230639785528_N_13.5_3.62_5841.28_leicesteradmin_.jpg
"06-04-2024 , 09:51",52.62427606154233,-1.1632975190877914,N,Major Pothole,"Surface Deterioration, Severe Pothole, Ravelling",Braunstone Avenue,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240406095118945_52.62427606154233_-1.1632975190877914_N_30.0_8.8_3286.88_leicesteradmin_19_12_13_13_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240406095118945_52.62427606154233_-1.1632975190877914_N_30.0_8.8_3286.88_leicesteradmin_.jpg
"13-04-2024 , 11:23",52.62674143072218,-1.1549891252070665,N,Major Pothole,"Minor Longitudinal Cracking, Moderate Pothole, Surface Deterioration",Fosse Road South,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240413112301994_52.62674143072218_-1.1549891252070665_N_28.0_7.36_30566.84_leicesteradmin_7_11_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240413112301994_52.62674143072218_-1.1549891252070665_N_28.0_7.36_30566.84_leicesteradmin_.jpg
"11-05-2024 , 12:10",52.62713089585304,-1.1068187467753887,S,Major Pothole,"Surface Deterioration, Severe Pothole",Rowsley Street,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240511121012523_52.62713089585304_-1.1068187467753887_S_26.1_8.05_25280.66_leicesteradmin_19_19_12_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240511121012523_52.62713089585304_-1.1068187467753887_S_26.1_8.05_25280.66_leicesteradmin_.jpg
"13-04-2024 , 11:21",52.62783539481461,-1.1574454419314861,S,Major Pothole,"Moderate Pothole, Ravelling, Surface Deterioration",Sykefield Avenue,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240413112139994_52.62783539481461_-1.1574454419314861_S_14.1_4.28_30136.82_leicesteradmin_11_13_19_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240413112139994_52.62783539481461_-1.1574454419314861_S_14.1_4.28_30136.82_leicesteradmin_.jpg
"06-04-2024 , 10:30",52.628442998975515,-1.1711832974106073,E,Major Pothole,"Surface Deterioration, Severe Pothole",Rancliffe Crescent,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240406103005954_52.628442998975515_-1.1711832974106073_E_19.5_6.68_12378.25_leicesteradmin_19_12_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240406103005954_52.628442998975515_-1.1711832974106073_E_19.5_6.68_12378.25_leicesteradmin_.jpg
"13-04-2024 , 11:23",52.62852916494012,-1.1542664375156164,N,Major Pothole,"Ravelling, Minor Pothole, Moderate Pothole, Surface Deterioration",Fosse Road South,https://platform.roadmetrics.ai/leicester_city_07_2023/Markred/20240413112323997_52.62852916494012_-1.1542664375156164_N_30.1_8.78_30771.44_leicesteradmin_13_10_13_13_11_11_13_13_13_13_19_.jpg,https://platform.roadmetrics.ai/leicester_city_07_2023/raw/20240413112323997_52.62852916494012_-1.1542664375156164_N_30.1_8.78_30771.44_leicesteradmin_.jpg
