Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"08-11-2023 , 15:23",53.46935143641112,-2.228456421830518,N,Minor Pothole,"Minor Pothole, Ravelling",Whitekirk Close,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108152311195_53.46935143641112_-2.228456421830518_N_19.9_5.73_3828.25_ukdemo_10_13_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108152311195_53.46935143641112_-2.228456421830518_N_19.9_5.73_3828.25_ukdemo_.jpg
"08-11-2023 , 15:23",53.46938223969629,-2.2284078208148137,N,Minor Pothole,"Minor Pothole, Ravelling",Whitekirk Close,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108152312188_53.46938223969629_-2.2284078208148137_N_18.4_5.42_3833.66_ukdemo_10_13_13_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108152312188_53.46938223969629_-2.2284078208148137_N_18.4_5.42_3833.66_ukdemo_.jpg
"08-11-2023 , 15:19",53.47010259761745,-2.225260393708132,E,Minor Pothole,"Minor Pothole, Ravelling, Minor Longitudinal Cracking",Wadeson Road,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108151954151_53.47010259761745_-2.225260393708132_E_11.6_4.35_2883.34_ukdemo_10_13_13_7_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108151954151_53.47010259761745_-2.225260393708132_E_11.6_4.35_2883.34_ukdemo_.jpg
"08-11-2023 , 15:18",53.47158290437745,-2.2279627585621613,S,Minor Pothole,"Minor Pothole, Ravelling",Kale Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108151859164_53.47158290437745_-2.2279627585621613_S_17.7_4.51_2618.94_ukdemo_10_13_13_13_13_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108151859164_53.47158290437745_-2.2279627585621613_S_17.7_4.51_2618.94_ukdemo_.jpg
"08-11-2023 , 15:18",53.471797900488404,-2.227765714433749,S,Minor Pothole,Minor Pothole,Kale Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108151853148_53.471797900488404_-2.227765714433749_S_14.3_3.7_2592.72_ukdemo_10_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108151853148_53.471797900488404_-2.227765714433749_S_14.3_3.7_2592.72_ukdemo_.jpg
"08-11-2023 , 15:18",53.47182963282885,-2.2277346209689806,S,Minor Pothole,"Minor Pothole, Ravelling",Kale Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108151852138_53.47182963282885_-2.2277346209689806_S_12.3_3.12_2589.02_ukdemo_10_13_13_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108151852138_53.47182963282885_-2.2277346209689806_S_12.3_3.12_2589.02_ukdemo_.jpg
"08-11-2023 , 15:18",53.471857234462526,-2.2277036777580905,S,Minor Pothole,"Minor Pothole, Ravelling",Kale Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108151851137_53.471857234462526_-2.2277036777580905_S_11.2_5.13_2585.91_ukdemo_10_13_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108151851137_53.471857234462526_-2.2277036777580905_S_11.2_5.13_2585.91_ukdemo_.jpg
"08-11-2023 , 15:27",53.47394825016177,-2.237097465917594,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Ravelling, Minor Longitudinal Cracking",Princess Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108152732164_53.47394825016177_-2.237097465917594_N_20.7_6.02_4961.67_ukdemo_10_10_4_13_7_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108152732164_53.47394825016177_-2.237097465917594_N_20.7_6.02_4961.67_ukdemo_.jpg
"08-11-2023 , 15:28",53.47462069663432,-2.237582616542398,N,Minor Pothole,Minor Pothole,Princess Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108152823173_53.47462069663432_-2.237582616542398_N_19.3_5.35_5043.77_ukdemo_10_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108152823173_53.47462069663432_-2.237582616542398_N_19.3_5.35_5043.77_ukdemo_.jpg
"08-11-2023 , 15:28",53.47518878286569,-2.237859610328186,N,Minor Pothole,"Minor Pothole, Ravelling, Minor Alligator, Minor Longitudinal Cracking",Princess Street,https://platform.roadmetrics.ai/london_10_2023/Markorange/20231108152835197_53.47518878286569_-2.237859610328186_N_22.0_6.18_5108.95_ukdemo_10_13_1_7_.jpg,https://platform.roadmetrics.ai/london_10_2023/raw/20231108152835197_53.47518878286569_-2.237859610328186_N_22.0_6.18_5108.95_ukdemo_.jpg
