Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"09-11-2023 , 10:44",53.44826922166349,-2.238814532836761,E,Major Pothole,"Moderate Pothole, Minor Pothole, Ravelling",Horton Road,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109104412883_53.44826922166349_-2.238814532836761_E_17.5_5.06_11933.77_ukdemo_11_10_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109104412883_53.44826922166349_-2.238814532836761_E_17.5_5.06_11933.77_ukdemo_.jpg
"09-11-2023 , 10:30",53.451559357845504,-2.230099041490545,E,Major Pothole,"Moderate Pothole, Minor Pothole",Arnside Street,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109103018822_53.451559357845504_-2.230099041490545_E_14.3_4.87_8198.14_ukdemo_11_10_10_11_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109103018822_53.451559357845504_-2.230099041490545_E_14.3_4.87_8198.14_ukdemo_.jpg
"09-11-2023 , 10:06",53.47906725003066,-2.232786223202073,S,Major Pothole,"Severe Pothole, Moderate Pothole, Ravelling",Piccadilly,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109100637861_53.47906725003066_-2.232786223202073_S_13.2_4.64_104.28_ukdemo_12_11_13_13_13_13_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109100637861_53.47906725003066_-2.232786223202073_S_13.2_4.64_104.28_ukdemo_.jpg
"09-11-2023 , 10:06",53.47925818439351,-2.232878072973469,S,Major Pothole,"Moderate Pothole, Ravelling, Minor Alligator",Piccadilly,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109100612820_53.47925818439351_-2.232878072973469_S_13.7_7.75_81.37_ukdemo_11_13_1_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109100612820_53.47925818439351_-2.232878072973469_S_13.7_7.75_81.37_ukdemo_.jpg
"09-11-2023 , 10:44",53.44826922166349,-2.238814532836761,E,Minor Pothole,"Moderate Pothole, Minor Pothole, Ravelling",Horton Road,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109104412883_53.44826922166349_-2.238814532836761_E_17.5_5.06_11933.77_ukdemo_11_10_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109104412883_53.44826922166349_-2.238814532836761_E_17.5_5.06_11933.77_ukdemo_.jpg
"09-11-2023 , 10:23",53.44922620326896,-2.2306847857039562,W,Minor Pothole,"Minor Pothole, Ravelling, Minor Alligator, Minor Longitudinal Cracking",Platt Lane,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markorange/20231109102312814_53.44922620326896_-2.2306847857039562_W_3.5_3.69_6187.63_ukdemo_10_13_13_1_13_13_7_7_7_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109102312814_53.44922620326896_-2.2306847857039562_W_3.5_3.69_6187.63_ukdemo_.jpg
"09-11-2023 , 10:30",53.451559357845504,-2.230099041490545,E,Minor Pothole,"Moderate Pothole, Minor Pothole",Arnside Street,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markred/20231109103018822_53.451559357845504_-2.230099041490545_E_14.3_4.87_8198.14_ukdemo_11_10_10_11_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109103018822_53.451559357845504_-2.230099041490545_E_14.3_4.87_8198.14_ukdemo_.jpg
"09-11-2023 , 10:40",53.45241793644696,-2.2374522013834888,W,Minor Pothole,"Minor Pothole, Ravelling, Minor Alligator",Wansford Street,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markorange/20231109104001885_53.45241793644696_-2.2374522013834888_W_17.0_4.87_10862.71_ukdemo_10_13_1_13_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109104001885_53.45241793644696_-2.2374522013834888_W_17.0_4.87_10862.71_ukdemo_.jpg
"09-11-2023 , 10:56",53.474548573090466,-2.2347445363561507,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Sackville Street,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markorange/20231109105650902_53.474548573090466_-2.2347445363561507_N_26.1_7.23_16349.89_ukdemo_10_7_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109105650902_53.474548573090466_-2.2347445363561507_N_26.1_7.23_16349.89_ukdemo_.jpg
"09-11-2023 , 10:06",53.479308377694124,-2.232909954901625,S,Minor Pothole,"Minor Pothole, Ravelling",Piccadilly,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markorange/20231109100611820_53.479308377694124_-2.232909954901625_S_12.8_8.7_73.62_ukdemo_10_10_10_10_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109100611820_53.479308377694124_-2.232909954901625_S_12.8_8.7_73.62_ukdemo_.jpg
"09-11-2023 , 10:06",53.479374542298864,-2.232946397137119,S,Minor Pothole,"Minor Pothole, Ravelling",Piccadilly,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/Markorange/20231109100610820_53.479374542298864_-2.232946397137119_S_11.8_7.48_64.92_ukdemo_10_13_13_13_.jpg,https://platform.roadmetrics.ai/manchester_demo_11_2023_1/raw/20231109100610820_53.479374542298864_-2.232946397137119_S_11.8_7.48_64.92_ukdemo_.jpg
