Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"23-08-2023 , 18:22",51.4039621129632,-0.17703778110444546,E,Minor Pothole,"Ravelling, Minor Pothole",Belgrave Walk,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230823182252614_51.4039621129632_-0.17703778110444546_E_23.0_6.4_11249.17_mertonadmin_13_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230823182252614_51.4039621129632_-0.17703778110444546_E_23.0_6.4_11249.17_mertonadmin_.jpg
"14-08-2023 , 10:25",51.404650057666004,-0.21575471386313438,W,Minor Pothole,"Minor Pothole, Surface Deterioration",Martin Way,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230814102506083_51.404650057666004_-0.21575471386313438_W_30.4_8.36_6817.34_ukdemo_10_19_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230814102506083_51.404650057666004_-0.21575471386313438_W_30.4_8.36_6817.34_ukdemo_.jpg
"14-08-2023 , 10:25",51.404650057666004,-0.21575471386313438,W,Minor Pothole,"Minor Pothole, Surface Deterioration",Martin Way,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230814102506083_51.404650057666004_-0.21575471386313438_W_30.4_8.36_6817.34_ukdemo_10_19_19_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230814102506083_51.404650057666004_-0.21575471386313438_W_30.4_8.36_6817.34_ukdemo_.jpg
"14-08-2023 , 13:26",51.40921475831419,-0.1793326623737812,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Sheldrick Close,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230814132608026_51.40921475831419_-0.1793326623737812_S_26.3_5.98_15674.31_ukdemo_10_7_7_4_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230814132608026_51.40921475831419_-0.1793326623737812_S_26.3_5.98_15674.31_ukdemo_.jpg
"14-08-2023 , 13:26",51.40921475831419,-0.1793326623737812,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking, Surface Deterioration",Sheldrick Close,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230814132608026_51.40921475831419_-0.1793326623737812_S_26.3_5.98_15674.31_ukdemo_10_7_7_4_4_4_4_19_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230814132608026_51.40921475831419_-0.1793326623737812_S_26.3_5.98_15674.31_ukdemo_.jpg
"24-07-2023 , 08:55",51.411784859374166,-0.2376670204102993,W,Minor Pothole,Minor Pothole,Richmond Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230724085544648_51.411784859374166_-0.2376670204102993_W_33.1_9.54_13078.12_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230724085544648_51.411784859374166_-0.2376670204102993_W_33.1_9.54_13078.12_mertonadmin_.jpg
"24-07-2023 , 09:17",51.41434318386018,-0.2442660927772522,E,Minor Pothole,"Minor Pothole, Surface Deterioration",Cottenham Park Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230724091732637_51.41434318386018_-0.2442660927772522_E_13.2_3.95_19903.17_mertonadmin_10_19_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230724091732637_51.41434318386018_-0.2442660927772522_E_13.2_3.95_19903.17_mertonadmin_.jpg
"23-07-2023 , 20:09",51.41445504035801,-0.21569101139903069,W,Minor Pothole,"Minor Pothole, Minor Alligator",Rotherwood Close,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723200928793_51.41445504035801_-0.21569101139903069_W_19.5_6.2_953.05_mertonadmin_10_1_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723200928793_51.41445504035801_-0.21569101139903069_W_19.5_6.2_953.05_mertonadmin_.jpg
"23-07-2023 , 20:09",51.41445504035801,-0.21569101139903069,W,Minor Pothole,"Minor Pothole, Ravelling",Rotherwood Close,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723200928793_51.41445504035801_-0.21569101139903069_W_19.5_6.2_953.05_mertonadmin_10_13_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723200928793_51.41445504035801_-0.21569101139903069_W_19.5_6.2_953.05_mertonadmin_.jpg
"23-07-2023 , 20:09",51.414490663446486,-0.21562781184911728,W,Minor Pothole,"Minor Pothole, Ravelling",Rotherwood Close,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723200927781_51.414490663446486_-0.21562781184911728_W_19.6_6.08_946.85_mertonadmin_10_13_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723200927781_51.414490663446486_-0.21562781184911728_W_19.6_6.08_946.85_mertonadmin_.jpg
"23-07-2023 , 08:37",51.41857596114278,-0.1878806110471487,E,Minor Pothole,Minor Pothole,Trafalgar Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723083726067_51.41857596114278_-0.1878806110471487_E_22.3_6.72_7114.82_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723083726067_51.41857596114278_-0.1878806110471487_E_22.3_6.72_7114.82_mertonadmin_.jpg
"23-07-2023 , 09:10",51.421605767682195,-0.19300061278045177,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Alligator",Ashley Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723091040040_51.421605767682195_-0.19300061278045177_N_9.2_3.09_16675.15_mertonadmin_10_4_1_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723091040040_51.421605767682195_-0.19300061278045177_N_9.2_3.09_16675.15_mertonadmin_.jpg
"23-07-2023 , 14:26",51.42281255219132,-0.2133676316589117,N,Minor Pothole,Minor Pothole,Raymond Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723142605927_51.42281255219132_-0.2133676316589117_N_24.3_5.37_12514.44_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723142605927_51.42281255219132_-0.2133676316589117_N_24.3_5.37_12514.44_mertonadmin_.jpg
"23-07-2023 , 14:26",51.42281142063439,-0.21328615956008434,W,Minor Pothole,Minor Pothole,Raymond Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723142630919_51.42281142063439_-0.21328615956008434_W_20.7_5.87_12596.98_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723142630919_51.42281142063439_-0.21328615956008434_W_20.7_5.87_12596.98_mertonadmin_.jpg
"23-07-2023 , 14:11",51.424689469859004,-0.20921263843774796,S,Minor Pothole,Minor Pothole,St. Marys Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723141146936_51.424689469859004_-0.20921263843774796_S_27.3_8.71_8901.22_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723141146936_51.424689469859004_-0.20921263843774796_S_27.3_8.71_8901.22_mertonadmin_.jpg
"23-07-2023 , 11:25",51.429826989769936,-0.21255182102322578,E,Minor Pothole,Minor Pothole,Welford Place,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723112522993_51.429826989769936_-0.21255182102322578_E_17.0_5.44_15842.66_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723112522993_51.429826989769936_-0.21255182102322578_E_17.0_5.44_15842.66_mertonadmin_.jpg
"23-07-2023 , 11:32",51.4321444183588,-0.22168876603245735,E,Minor Pothole,Minor Pothole,Calonne Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723113231993_51.4321444183588_-0.22168876603245735_E_31.1_7.95_17992.7_mertonadmin_10_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723113231993_51.4321444183588_-0.22168876603245735_E_31.1_7.95_17992.7_mertonadmin_.jpg
"23-07-2023 , 11:29",51.433932445943356,-0.2209642343223095,W,Minor Pothole,"Minor Pothole, Ravelling",Somerset Road,https://platform.roadmetrics.ai/merton_borough_07_2023/Markorange/20230723112936989_51.433932445943356_-0.2209642343223095_W_26.2_7.56_17198.84_mertonadmin_10_13_.jpg,https://platform.roadmetrics.ai/merton_borough_07_2023/raw/20230723112936989_51.433932445943356_-0.2209642343223095_W_26.2_7.56_17198.84_mertonadmin_.jpg
