Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"18-03-2024 , 10:05",52.57332800421864,-0.18401579931378365,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Northey Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318100543220500_52.57332800421864_-0.18401579931378365_S_55.2_7.75_7451.7_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318100543220500_52.57332800421864_-0.18401579931378365_S_55.2_7.75_7451.7_peterboroughadmin_.jpg
"18-03-2024 , 10:05",52.5784767139703,-0.1841848623007536,S,Minor Pothole,"Minor Pothole, Minor Alligator, Minor Transverse Cracking",Northey Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318100503730_52.5784767139703_-0.1841848623007536_S_22.6_7.37_6856.35_peterboroughadmin_10_1_4_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318100503730_52.5784767139703_-0.1841848623007536_S_22.6_7.37_6856.35_peterboroughadmin_.jpg
"18-03-2024 , 09:59",52.57881823461503,-0.12010613456368446,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",North Side,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318095910213500_52.57881823461503_-0.12010613456368446_S_61.6_8.79_1393.4_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318095910213500_52.57881823461503_-0.12010613456368446_S_61.6_8.79_1393.4_peterboroughadmin_.jpg
"18-03-2024 , 10:12",52.587534429039806,-0.1175252627581358,N,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",North Side,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318101239722_52.587534429039806_-0.1175252627581358_N_63.0_8.77_13225.08_peterboroughadmin_10_4_7_4_4_7_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318101239722_52.587534429039806_-0.1175252627581358_N_63.0_8.77_13225.08_peterboroughadmin_.jpg
"18-03-2024 , 09:58",52.58759961929172,-0.1174607640132308,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",North Side,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318095808711_52.58759961929172_-0.1174607640132308_S_56.2_7.89_400.37_peterboroughadmin_10_7_7_7_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318095808711_52.58759961929172_-0.1174607640132308_S_56.2_7.89_400.37_peterboroughadmin_.jpg
"18-03-2024 , 09:30",52.612350792624056,-0.21283085457980633,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318093021478500_52.612350792624056_-0.21283085457980633_N_87.9_6.15_990.18_peterboroughadmin_10_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318093021478500_52.612350792624056_-0.21283085457980633_N_87.9_6.15_990.18_peterboroughadmin_.jpg
"18-03-2024 , 09:30",52.61276383185759,-0.21237850422039628,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318093023740_52.61276383185759_-0.21237850422039628_N_87.3_6.18_1045.52_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318093023740_52.61276383185759_-0.21237850422039628_N_87.3_6.18_1045.52_peterboroughadmin_.jpg
"18-03-2024 , 09:41",52.612887597642846,-0.2121816482394934,S,Minor Pothole,Minor Pothole,A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318094132723_52.612887597642846_-0.2121816482394934_S_65.7_6.12_14258.98_peterboroughadmin_10_10_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318094132723_52.612887597642846_-0.2121816482394934_S_65.7_6.12_14258.98_peterboroughadmin_.jpg
"18-03-2024 , 09:30",52.61808269424364,-0.20674374885857105,N,Minor Pothole,Minor Pothole,A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318093052789000_52.61808269424364_-0.20674374885857105_N_80.4_7.21_1759.46_peterboroughadmin_10_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318093052789000_52.61808269424364_-0.20674374885857105_N_80.4_7.21_1759.46_peterboroughadmin_.jpg
"18-03-2024 , 09:40",52.61896918527782,-0.20648298785090446,S,Minor Pothole,"Minor Pothole, Moderate Pothole, Minor Longitudinal Cracking",A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markred/20240318094053062000_52.61896918527782_-0.20648298785090446_S_76.9_7.17_13459.94_peterboroughadmin_10_11_10_7_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318094053062000_52.61896918527782_-0.20648298785090446_S_76.9_7.17_13459.94_peterboroughadmin_.jpg
"19-03-2024 , 10:26",52.620298555120826,-0.09230684023350477,W,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319102646003_52.620298555120826_-0.09230684023350477_W_30.1_8.53_27.36_peterboroughadmin_10_10_4_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319102646003_52.620298555120826_-0.09230684023350477_W_30.1_8.53_27.36_peterboroughadmin_.jpg
"19-03-2024 , 10:26",52.62045684736222,-0.09262564592063427,W,Minor Pothole,Minor Pothole,Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319102648940_52.62045684736222_-0.09262564592063427_W_34.3_9.31_54.26_peterboroughadmin_10_10_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319102648940_52.62045684736222_-0.09262564592063427_W_34.3_9.31_54.26_peterboroughadmin_.jpg
"19-03-2024 , 09:59",52.620502738282084,-0.09265640750527382,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095951952_52.620502738282084_-0.09265640750527382_E_41.7_11.81_1797.25_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095951952_52.620502738282084_-0.09265640750527382_E_41.7_11.81_1797.25_peterboroughadmin_.jpg
"19-03-2024 , 10:26",52.62069346848875,-0.09323123842477798,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319102653947_52.62069346848875_-0.09323123842477798_W_36.4_9.66_102.7_peterboroughadmin_10_10_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319102653947_52.62069346848875_-0.09323123842477798_W_36.4_9.66_102.7_peterboroughadmin_.jpg
"19-03-2024 , 10:26",52.620851173996925,-0.09361512959003448,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319102656952_52.620851173996925_-0.09361512959003448_W_37.3_10.28_133.93_peterboroughadmin_10_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319102656952_52.620851173996925_-0.09361512959003448_W_37.3_10.28_133.93_peterboroughadmin_.jpg
"19-03-2024 , 09:59",52.62091869022697,-0.09362795390188694,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095944945_52.62091869022697_-0.09362795390188694_E_41.9_11.41_1716.92_peterboroughadmin_10_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095944945_52.62091869022697_-0.09362795390188694_E_41.9_11.41_1716.92_peterboroughadmin_.jpg
"18-03-2024 , 09:31",52.620960641652346,-0.2060878649353981,N,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318093107403666_52.620960641652346_-0.2060878649353981_N_80.2_7.43_2082.58_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318093107403666_52.620960641652346_-0.2060878649353981_N_80.2_7.43_2082.58_peterboroughadmin_.jpg
"19-03-2024 , 10:33",52.62120644096285,-0.11018279939889908,W,Minor Pothole,"Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",The Causeway,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319103343948_52.62120644096285_-0.11018279939889908_W_43.4_11.82_1304.43_peterboroughadmin_10_10_4_7_7_4_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319103343948_52.62120644096285_-0.11018279939889908_W_43.4_11.82_1304.43_peterboroughadmin_.jpg
"19-03-2024 , 10:33",52.621207111515105,-0.11027173139154911,W,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking",The Causeway,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319103344446000_52.621207111515105_-0.11027173139154911_W_43.4_6.02_1310.45_peterboroughadmin_10_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319103344446000_52.621207111515105_-0.11027173139154911_W_43.4_6.02_1310.45_peterboroughadmin_.jpg
"19-03-2024 , 09:57",52.62122580315918,-0.11043115518987179,E,Minor Pothole,"Minor Pothole, Minor Alligator, Minor Longitudinal Cracking",The Causeway,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095709447500_52.62122580315918_-0.11043115518987179_E_44.4_6.2_544.1_peterboroughadmin_10_1_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095709447500_52.62122580315918_-0.11043115518987179_E_44.4_6.2_544.1_peterboroughadmin_.jpg
"19-03-2024 , 09:59",52.62132936157286,-0.09609793312847614,E,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Alligator",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095928947_52.62132936157286_-0.09609793312847614_E_35.4_9.8_1536.6_peterboroughadmin_10_7_1_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095928947_52.62132936157286_-0.09609793312847614_E_35.4_9.8_1536.6_peterboroughadmin_.jpg
"19-03-2024 , 09:58",52.62152302544564,-0.10139789432287216,E,Minor Pothole,Minor Pothole,Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095848944_52.62152302544564_-0.10139789432287216_E_33.2_9.56_1169.16_peterboroughadmin_10_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095848944_52.62152302544564_-0.10139789432287216_E_33.2_9.56_1169.16_peterboroughadmin_.jpg
"18-03-2024 , 09:40",52.62156997807324,-0.20590662024915218,S,Minor Pothole,"Minor Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",A16,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240318094039062667_52.62156997807324_-0.20590662024915218_S_72.2_6.7_13168.36_peterboroughadmin_10_10_10_7_4_7_7_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240318094039062667_52.62156997807324_-0.20590662024915218_S_72.2_6.7_13168.36_peterboroughadmin_.jpg
"19-03-2024 , 09:59",52.62167532462627,-0.09845031425356865,E,Minor Pothole,"Minor Pothole, Minor Alligator",Wisbech Road,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/Markorange/20240319095908946_52.62167532462627_-0.09845031425356865_E_33.8_9.15_1370.4_peterboroughadmin_10_1_.jpg,https://platform.roadmetrics.ai/peterborough_city_council_03_2024_1/raw/20240319095908946_52.62167532462627_-0.09845031425356865_E_33.8_9.15_1370.4_peterboroughadmin_.jpg
