Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"15-04-2024 , 11:57",50.31376166666667,-4.855658333333333,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",#,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415115756069_50.31376166666667_-4.855658333333333_E_43.0_11.46_3824.29_cornwalltrial_11_7_7_7_4_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415115756069_50.31376166666667_-4.855658333333333_E_43.0_11.46_3824.29_cornwalltrial_.jpg
"15-04-2024 , 11:58",50.314003333333325,-4.854538333333333,E,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking",#,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415115804072_50.314003333333325_-4.854538333333333_E_33.9_9.78_3911.38_cornwalltrial_12_12_7_7_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415115804072_50.314003333333325_-4.854538333333333_E_33.9_9.78_3911.38_cornwalltrial_.jpg
"15-04-2024 , 12:14",50.33126666666667,-4.812248333333333,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",A390,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415121413572500_50.33126666666667_-4.812248333333333_E_55.0_7.7_3897.85_cornwalltrial_11_7_7_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415121413572500_50.33126666666667_-4.812248333333333_E_55.0_7.7_3897.85_cornwalltrial_.jpg
"15-04-2024 , 13:45",50.33626833333333,-4.639496666666666,W,Major Pothole,"Moderate Pothole, Minor Pothole",New Road Hill,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415134534069_50.33626833333333_-4.639496666666666_W_19.5_5.57_58108.82_cornwalltrial_11_10_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415134534069_50.33626833333333_-4.639496666666666_W_19.5_5.57_58108.82_cornwalltrial_.jpg
"15-04-2024 , 13:40",50.344480833333336,-4.680881666666667,S,Major Pothole,"Moderate Pothole, Minor Transverse Cracking",Polmear Hill,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415134018066_50.344480833333336_-4.680881666666667_S_56.6_7.89_54171.58_cornwalltrial_11_4_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415134018066_50.344480833333336_-4.680881666666667_S_56.6_7.89_54171.58_cornwalltrial_.jpg
"15-04-2024 , 13:19",50.37411333333333,-4.780565,S,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking, Minor Alligator",B3374,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415131906070_50.37411333333333_-4.780565_S_33.4_9.1_39270.47_cornwalltrial_11_7_4_1_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415131906070_50.37411333333333_-4.780565_S_33.4_9.1_39270.47_cornwalltrial_.jpg
"15-04-2024 , 13:56",50.37497333333334,-4.667481666666667,N,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",B3269,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415135630567500_50.37497333333334_-4.667481666666667_N_56.9_7.88_63727.82_cornwalltrial_11_7_7_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415135630567500_50.37497333333334_-4.667481666666667_N_56.9_7.88_63727.82_cornwalltrial_.jpg
"15-04-2024 , 13:18",50.37769166666667,-4.7795716666666666,S,Major Pothole,"Minor Pothole, Severe Pothole, Minor Longitudinal Cracking, Minor Alligator",B3374,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415131806074_50.37769166666667_-4.7795716666666666_S_0.0_4.11_38846.67_cornwalltrial_10_12_7_7_1_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415131806074_50.37769166666667_-4.7795716666666666_S_0.0_4.11_38846.67_cornwalltrial_.jpg
"15-04-2024 , 13:18",50.377735,-4.779615,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",B3374,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415131804073_50.377735_-4.779615_E_13.7_4.61_38842.56_cornwalltrial_11_7_7_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415131804073_50.377735_-4.779615_E_13.7_4.61_38842.56_cornwalltrial_.jpg
"15-04-2024 , 13:18",50.377786666666665,-4.779706666666667,S,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",B3374,https://platform.roadmetrics.ai/product_launch_07_2024_1/Markred/20240415131802080_50.377786666666665_-4.779706666666667_S_29.1_9.28_38831.19_cornwalltrial_11_7_7_.jpg,https://platform.roadmetrics.ai/product_launch_07_2024_1/raw/20240415131802080_50.377786666666665_-4.779706666666667_S_29.1_9.28_38831.19_cornwalltrial_.jpg
