Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"04-12-2024 , 09:27",53.02218367578462,-2.1687695011496544,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Botteslow Street,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204092748760_53.02218367578462_-2.1687695011496544_E_47.1_6.57_11977.48_aiphone_11_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204092748760_53.02218367578462_-2.1687695011496544_E_47.1_6.57_11977.48_aiphone_.jpg
"04-12-2024 , 09:00",53.02324566291645,-2.150840316899121,E,Major Pothole,"Moderate Pothole, Minor Pothole, Minor Longitudinal Cracking",A52,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204090016765_53.02324566291645_-2.150840316899121_E_45.7_6.41_967.61_aiphone_11_10_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204090016765_53.02324566291645_-2.150840316899121_E_45.7_6.41_967.61_aiphone_.jpg
"04-12-2024 , 09:00",53.02395642735064,-2.147713489830494,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",A52,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204090034270000_53.02395642735064_-2.147713489830494_E_46.0_6.31_1192.11_aiphone_11_7_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204090034270000_53.02395642735064_-2.147713489830494_E_46.0_6.31_1192.11_aiphone_.jpg
"04-12-2024 , 10:47",53.02486871369183,-2.1546860178932548,N,Major Pothole,"Moderate Pothole, Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",Leek Road,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204104746749_53.02486871369183_-2.1546860178932548_N_42.3_12.0_56811.58_aiphone_11_10_4_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204104746749_53.02486871369183_-2.1546860178932548_N_42.3_12.0_56811.58_aiphone_.jpg
"04-12-2024 , 10:46",53.02515566814691,-2.1607196889817715,S,Major Pothole,"Moderate Pothole, Minor Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",A5008,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204104633744_53.02515566814691_-2.1607196889817715_S_15.0_6.41_56301.68_aiphone_11_10_4_4_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204104633744_53.02515566814691_-2.1607196889817715_S_15.0_6.41_56301.68_aiphone_.jpg
"04-12-2024 , 09:01",53.02540243137628,-2.1387989167124033,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",A52,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204090124767_53.02540243137628_-2.1387989167124033_E_39.2_11.26_1816.74_aiphone_11_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204090124767_53.02540243137628_-2.1387989167124033_E_39.2_11.26_1816.74_aiphone_.jpg
"04-12-2024 , 09:01",53.025431516580284,-2.1402828488498926,E,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking",A52,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204090116773_53.025431516580284_-2.1402828488498926_E_43.6_6.07_1721.7_aiphone_12_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204090116773_53.025431516580284_-2.1402828488498926_E_43.6_6.07_1721.7_aiphone_.jpg
"04-12-2024 , 10:40",53.0309971421957,-2.1884984895586967,N,Major Pothole,Moderate Pothole,A53,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204104001752_53.0309971421957_-2.1884984895586967_N_36.4_10.25_53212.1_aiphone_11_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204104001752_53.0309971421957_-2.1884984895586967_N_36.4_10.25_53212.1_aiphone_.jpg
"04-12-2024 , 10:43",53.0313806142658,-2.172972857952118,E,Major Pothole,"Severe Pothole, Minor Transverse Cracking, Minor Longitudinal Cracking",Town Road,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204104336743_53.0313806142658_-2.172972857952118_E_40.4_11.14_54910.78_aiphone_12_4_4_7_7_4_7_4_7_7_7_7_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204104336743_53.0313806142658_-2.172972857952118_E_40.4_11.14_54910.78_aiphone_.jpg
"04-12-2024 , 10:44",53.03243769798428,-2.169371824711561,S,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Merrick Street,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/Markred/20241204104439751_53.03243769798428_-2.169371824711561_S_26.0_7.37_55226.49_aiphone_11_7_7_4_.jpg,https://platform.roadmetrics.ai/stoke_on_trent_12_2024/raw/20241204104439751_53.03243769798428_-2.169371824711561_S_26.0_7.37_55226.49_aiphone_.jpg
