Timestamp,Latitude,Longitude,Bearing,Type,Defects or Features,RoadName,DetectedImage,RawImage
"14-08-2024 , 11:25",50.3791330056265,-3.5318278055638075,E,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Transverse Cracking",Ocean View Drive,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814112534676_50.3791330056265_-3.5318278055638075_E_18.0_4.78_39.55_torbaytrial_11_7_7_7_4_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814112534676_50.3791330056265_-3.5318278055638075_E_18.0_4.78_39.55_torbaytrial_.jpg
"14-08-2024 , 11:25",50.37988058757037,-3.531003026291728,N,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking, Minor Alligator",Ocean View Drive,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814112549673_50.37988058757037_-3.531003026291728_N_25.2_6.97_140.71_torbaytrial_11_7_7_1_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814112549673_50.37988058757037_-3.531003026291728_N_25.2_6.97_140.71_torbaytrial_.jpg
"14-08-2024 , 11:14",50.38118422497064,-3.5233126301318407,S,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking",Southdown Hill,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814111444689_50.38118422497064_-3.5233126301318407_S_27.9_7.79_3938.86_torbaytrial_12_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814111444689_50.38118422497064_-3.5233126301318407_S_27.9_7.79_3938.86_torbaytrial_.jpg
"14-08-2024 , 11:18",50.38118409924209,-3.5246129147708416,W,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Southdown Avenue,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814111804691_50.38118409924209_-3.5246129147708416_W_13.6_4.04_5084.64_torbaytrial_11_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814111804691_50.38118409924209_-3.5246129147708416_W_13.6_4.04_5084.64_torbaytrial_.jpg
"14-08-2024 , 11:17",50.38127910811454,-3.5232809465378523,N,Major Pothole,"Severe Pothole, Moderate Alligator, Minor Longitudinal Cracking",Southdown Hill,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814111742691_50.38127910811454_-3.5232809465378523_N_26.9_8.02_4953.67_torbaytrial_12_12_2_7_7_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814111742691_50.38127910811454_-3.5232809465378523_N_26.9_8.02_4953.67_torbaytrial_.jpg
"14-08-2024 , 11:17",50.381332081742585,-3.5232487600296736,N,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking, Moderate Alligator",Southdown Hill,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814111743697_50.381332081742585_-3.5232487600296736_N_24.6_6.96_4960.63_torbaytrial_12_7_2_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814111743697_50.381332081742585_-3.5232487600296736_N_24.6_6.96_4960.63_torbaytrial_.jpg
"14-08-2024 , 11:02",50.38261606357992,-3.51799582131207,W,Major Pothole,"Severe Pothole, Minor Longitudinal Cracking",Upton Hill Road,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814110204686_50.38261606357992_-3.51799582131207_W_19.3_6.1_471.12_torbaytrial_12_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814110204686_50.38261606357992_-3.51799582131207_W_19.3_6.1_471.12_torbaytrial_.jpg
"14-08-2024 , 11:01",50.38334440905601,-3.5164756793528795,S,Major Pothole,Moderate Pothole,Upton Manor Park,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814110134676_50.38334440905601_-3.5164756793528795_S_18.3_5.48_287.08_torbaytrial_11_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814110134676_50.38334440905601_-3.5164756793528795_S_18.3_5.48_287.08_torbaytrial_.jpg
"14-08-2024 , 11:10",50.383981727063656,-3.522793874144554,W,Major Pothole,"Moderate Pothole, Minor Longitudinal Cracking",Upton Manor Road,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814111058694_50.383981727063656_-3.522793874144554_W_22.8_6.5_2962.15_torbaytrial_11_7_7_7_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814111058694_50.383981727063656_-3.522793874144554_W_22.8_6.5_2962.15_torbaytrial_.jpg
"14-08-2024 , 11:06",50.385491056367755,-3.515760200098157,S,Major Pothole,Severe Pothole,Stoneacre Close,https://platform.roadmetrics.ai/torbay_trial_11_2023/Markred/20240814110636701_50.385491056367755_-3.515760200098157_S_22.3_6.13_1640.31_torbaytrial_12_.jpg,https://platform.roadmetrics.ai/torbay_trial_11_2023/raw/20240814110636701_50.385491056367755_-3.515760200098157_S_22.3_6.13_1640.31_torbaytrial_.jpg
